ID,required language,position name,work experience,education,salary_lower_bound,salary_upper_bound,company scale,location,series level,company_name,search num
2716,PHP,PHP,1-3year,Unlimited,5,8,15-50人,Xi'an,startup (no financing),西淘信息,2450000
2717,PHP,PHP,1-3year,junior college,4,8,15-50人,Xi'an,startup (no financing),西淘信息,2450000
2718,PHP,PHP,3-5year,Unlimited,13,16,150-500人,Shanghai,developing (B round),西十区,355000
2719,PHP,PHP,1-3year,Unlimited,6,12,15-50人,Chengdu,startup (no financing need),西莫尔斯,1630000
2720,PHP,PHP,unlimited,Unlimited,1,2,少于15人,Xi'an,startup (no financing),西六楼,12700000
2721,PHP,PHP,unlimited,Unlimited,1,2,少于15人,Xi'an,startup (no financing),西六楼,12700000
2722,PHP,PHP,1-3year,junior college,7,9,50-150人,Xi'an,developing (no financing need),西安云网,2250000
2723,PHP,PHP,1-3year,Unlimited,4,6,15-50人,Xi'an,startup (no financing need),西安盛古网络,63
2724,PHP,PHP,1-3year,Unlimited,5,9,少于15人,Xi'an,startup (no financing need),西安魔石,557000
2725,PHP,PHP,1-3year,junior college,8,13,50-150人,Xi'an,startup (no financing),西安蓝鸥科技,86000
2726,PHP,PHP,1-3year,Bachelor,6,12,15-50人,Xi'an,startup (no financing),西安吉姆,1280000
2727,PHP,PHP,3-5year,junior college,10,14,15-50人,Guangzhou,startup (no financing),喜汇投资,946000
2728,PHP,PHP,1-3year,junior college,8,16,15-50人,Shanghai,developing (A round),曦尚网络,19500
2729,PHP,PHP,3-5year,junior college,8,16,15-50人,Shenzhen,startup (angel round),犀牛之星,1080000
2730,PHP,PHP,1-3year,Bachelor,4,6,少于15人,Wuhan,startup (angel round),武汉织云软件有限公司,170
2731,PHP,PHP,unlimited,Unlimited,6,12,15-50人,Wuhan,startup (angel round),武汉正大溯源科技有限公司,2750
2732,PHP,PHP,3-5year,junior college,8,10,500-2000人,Wuhan,startup (no financing),武汉远成赛创科技有限公司,46800
2733,PHP,PHP,unlimited,junior college,4,6,150-500人,Wuhan,developing (no financing need),武汉新华电脑学校,232000
2734,PHP,PHP,1-3year,junior college,6,8,50-150人,Wuhan,startup (angel round),武汉微派电子商务有限公司,10700
2735,PHP,PHP,1-3year,junior college,6,12,15-50人,Wuhan,developing (A round),武汉市尚蓝科技有限公司,455
2736,PHP,PHP,3-5year,junior college,8,10,15-50人,Wuhan,startup (no financing need),武汉快玩,421000
2737,PHP,PHP,1-3year,Unlimited,10,20,50-150人,Wuhan,developing (no financing need),武汉九紫春,9290
2738,PHP,PHP,1-3year,Unlimited,4,6,15-50人,Wuhan,startup (no financing),武汉技联云动,157000
2739,PHP,PHP,3-5year,junior college,6,12,15-50人,Wuhan,startup (no financing),武汉华债网信息有限公司,2790000
2740,PHP,PHP,3-5year,junior college,15,20,2000人以上,Shenzhen,mature (no financing need),武汉佰钧成技术有限公司,60600
2741,PHP,PHP,1-3year,junior college,6,8,15-50人,Wuhan,startup (no financing),武汉艾赛克网络科技有限公司,96
2742,PHP,PHP,1-3year,junior college,5,8,15-50人,Chengdu,startup (no financing),五舟汉云,37
2743,PHP,PHP,3-5year,Bachelor,13,20,15-50人,Guangzhou,startup (angel round),无畏科技,2530000
